Key,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish
FREECAM_EnableOrbit,Enable free orbit,启用自由环绕,Activer l'orbite libre,Freie Kamera aktivieren,Abilita orbita libera,Włącz swobodną orbitę,Включить свободный обзор,Activar órbita libre
FREECAM_EnableOrbit_DESCRIPTION,Hold the middle mouse button and drag to freely orbit the tactical camera (look around / tilt). Off restores the stock middle-mouse zoom-out.,按住鼠标中键并拖动即可自由环绕战术镜头（环视／俯仰）。关闭则恢复原版的中键拉远视角。,"Maintenez le bouton central de la souris et déplacez-la pour orbiter librement la caméra tactique (regarder autour / incliner). Désactivé, rétablit le dézoom au clic du milieu d'origine.","Halte die mittlere Maustaste gedrückt und ziehe, um die Taktikkamera frei zu schwenken (umsehen / neigen). Aus stellt das ursprüngliche Herauszoomen per Mittelklick wieder her.","Tieni premuto il tasto centrale del mouse e trascina per orbitare liberamente la telecamera tattica (guardarsi attorno / inclinare). Disattivato, ripristina lo zoom indietro col tasto centrale originale.","Przytrzymaj środkowy przycisk myszy i przeciągnij, aby swobodnie obracać kamerę taktyczną (rozglądanie / pochylanie). Wyłączone przywraca oryginalne oddalanie środkowym przyciskiem.","Удерживайте среднюю кнопку мыши и тяните, чтобы свободно вращать тактическую камеру (осмотр / наклон). Выкл. возвращает стандартное отдаление по средней кнопке.","Mantén pulsado el botón central del ratón y arrastra para orbitar libremente la cámara táctica (mirar alrededor / inclinar). Desactivado, restaura el alejamiento original con el botón central."
FREECAM_InvertY,Invert Y axis,反转 Y 轴,Inverser l'axe Y,Y-Achse umkehren,Inverti asse Y,Odwróć oś Y,Инвертировать ось Y,Invertir eje Y
FREECAM_InvertY_DESCRIPTION,Flip the up/down drag direction when tilting the camera.,倾斜镜头时反转上下拖动的方向。,Inverse le sens du glissement haut/bas lors de l'inclinaison de la caméra.,Kehrt die Auf/Ab-Ziehrichtung beim Neigen der Kamera um.,Inverte la direzione di trascinamento su/giù durante l'inclinazione della telecamera.,Odwraca kierunek przeciągania góra/dół podczas pochylania kamery.,Меняет направление перетаскивания вверх/вниз при наклоне камеры.,Invierte la dirección de arrastre arriba/abajo al inclinar la cámara.
FREECAM_Wheel,Scroll wheel mode,滚轮模式,Mode de la molette,Mausrad-Modus,Modalità rotellina,Tryb kółka myszy,Режим колеса прокрутки,Modo de la rueda
FREECAM_Wheel_DESCRIPTION,"Zoom: wheel zooms, modifier+wheel changes floor. Floors: wheel changes floor, modifier+wheel zooms.",Zoom：滚轮缩放，修饰键+滚轮切换楼层。Floors：滚轮切换楼层，修饰键+滚轮缩放。,"Zoom : la molette zoome, modificateur+molette change d'étage. Floors : la molette change d'étage, modificateur+molette zoome.","Zoom: Rad zoomt, Modifikator+Rad wechselt die Etage. Floors: Rad wechselt die Etage, Modifikator+Rad zoomt.","Zoom: la rotellina zooma, modificatore+rotellina cambia piano. Floors: la rotellina cambia piano, modificatore+rotellina zooma.","Zoom: kółko przybliża, modyfikator+kółko zmienia piętro. Floors: kółko zmienia piętro, modyfikator+kółko przybliża.","Zoom: колесо масштабирует, модификатор+колесо меняет этаж. Floors: колесо меняет этаж, модификатор+колесо масштабирует.","Zoom: la rueda hace zoom, modificador+rueda cambia de planta. Floors: la rueda cambia de planta, modificador+rueda hace zoom."
FREECAM_FloorKey,Floor modifier key,楼层修饰键,Touche de modification d'étage,Etagen-Modifikatortaste,Tasto modificatore piano,Klawisz modyfikatora pięter,Клавиша-модификатор этажа,Tecla modificadora de planta
FREECAM_FloorKey_DESCRIPTION,Hold this key while scrolling to swap the wheel's meaning (zoom <-> change floor). Default Alt. Avoid Ctrl: Ctrl+wheel is the game's overwatch-cone spread control and will collide.,滚动时按住此键可交换滚轮的功能（缩放 <-> 切换楼层）。默认 Alt。请避免 Ctrl：Ctrl+滚轮是游戏控制监视锥扩散的按键，会发生冲突。,Maintenez cette touche en faisant défiler pour permuter la fonction de la molette (zoom <-> changer d'étage). Alt par défaut. Évitez Ctrl : Ctrl+molette contrôle l'angle du cône de surveillance du jeu et entrera en conflit.,"Halte diese Taste beim Scrollen gedrückt, um die Funktion des Rads zu tauschen (Zoom <-> Etage wechseln). Standard: Alt. Vermeide Strg: Strg+Rad steuert den Überwachungskegel des Spiels und kollidiert.",Tieni premuto questo tasto mentre scorri per scambiare la funzione della rotellina (zoom <-> cambio piano). Predefinito: Alt. Evita Ctrl: Ctrl+rotellina controlla l'ampiezza del cono di sorveglianza del gioco e va in conflitto.,"Przytrzymaj ten klawisz podczas przewijania, aby zamienić funkcję kółka (zoom <-> zmiana piętra). Domyślnie Alt. Unikaj Ctrl: Ctrl+kółko steruje rozwarciem stożka czujności w grze i spowoduje konflikt.","Удерживайте эту клавишу при прокрутке, чтобы поменять функцию колеса (зум <-> смена этажа). По умолчанию Alt. Избегайте Ctrl: Ctrl+колесо управляет разбросом конуса наблюдения в игре и вызовет конфликт.",Mantén esta tecla mientras desplazas para intercambiar la función de la rueda (zoom <-> cambiar de planta). Alt por defecto. Evita Ctrl: Ctrl+rueda controla la apertura del cono de vigilancia del juego y entrará en conflicto.
FREECAM_InvertZoom,Invert wheel zoom,反转滚轮缩放,Inverser le zoom à la molette,Rad-Zoom umkehren,Inverti zoom rotellina,Odwróć zoom kółkiem,Инвертировать зум колесом,Invertir zoom de la rueda
FREECAM_InvertZoom_DESCRIPTION,Flip which scroll direction zooms in versus out.,反转滚动方向对应的放大与缩小。,Inverse le sens de défilement qui zoome avant et arrière.,"Vertauscht, welche Scrollrichtung heran- bzw. herauszoomt.",Inverte quale direzione di scorrimento ingrandisce o rimpicciolisce.,"Zamienia, który kierunek przewijania przybliża, a który oddala.","Меняет местами, в какую сторону прокрутка приближает и отдаляет.",Invierte qué dirección de desplazamiento acerca o aleja.
FREECAM_InvertFloor,Invert wheel floor,反转滚轮楼层,Inverser l'étage à la molette,Rad-Etage umkehren,Inverti piano rotellina,Odwróć piętra kółkiem,Инвертировать этаж колесом,Invertir planta de la rueda
FREECAM_InvertFloor_DESCRIPTION,Flip which scroll direction climbs a floor versus descends one.,反转滚动方向对应的上楼与下楼。,Inverse le sens de défilement qui monte ou descend d'un étage.,"Vertauscht, welche Scrollrichtung eine Etage hinauf- bzw. hinabgeht.",Inverte quale direzione di scorrimento sale o scende di un piano.,"Zamienia, który kierunek przewijania wchodzi piętro wyżej, a który niżej.","Меняет местами, в какую сторону прокрутка поднимает и опускает этаж.",Invierte qué dirección de desplazamiento sube o baja una planta.
FREECAM_SensitivityX,Horizontal sensitivity,水平灵敏度,Sensibilité horizontale,Horizontale Empfindlichkeit,Sensibilità orizzontale,Czułość pozioma,Горизонтальная чувствительность,Sensibilidad horizontal
FREECAM_SensitivityX_DESCRIPTION,Mouse sensitivity for left/right orbit (yaw). 1.0 = default. Must be greater than 0.,左右环绕（偏航）的鼠标灵敏度。1.0 = 默认值。必须大于 0。,Sensibilité de la souris pour l'orbite gauche/droite (lacet). 1.0 = défaut. Doit être supérieure à 0.,Mausempfindlichkeit für die Links/Rechts-Drehung (Gieren). 1.0 = Standard. Muss größer als 0 sein.,Sensibilità del mouse per l'orbita sinistra/destra (imbardata). 1.0 = predefinito. Deve essere maggiore di 0.,Czułość myszy dla obrotu lewo/prawo (odchylenie). 1.0 = domyślnie. Musi być większa od 0.,Чувствительность мыши для вращения влево/вправо (рыскание). 1.0 = по умолчанию. Должна быть больше 0.,Sensibilidad del ratón para la órbita izquierda/derecha (guiñada). 1.0 = predeterminado. Debe ser mayor que 0.
FREECAM_SensitivityY,Vertical sensitivity,垂直灵敏度,Sensibilité verticale,Vertikale Empfindlichkeit,Sensibilità verticale,Czułość pionowa,Вертикальная чувствительность,Sensibilidad vertical
FREECAM_SensitivityY_DESCRIPTION,Mouse sensitivity for up/down tilt (pitch). 1.0 = default. Must be greater than 0.,上下俯仰（俯仰角）的鼠标灵敏度。1.0 = 默认值。必须大于 0。,Sensibilité de la souris pour l'inclinaison haut/bas (tangage). 1.0 = défaut. Doit être supérieure à 0.,Mausempfindlichkeit für das Auf/Ab-Neigen (Nicken). 1.0 = Standard. Muss größer als 0 sein.,Sensibilità del mouse per l'inclinazione su/giù (beccheggio). 1.0 = predefinito. Deve essere maggiore di 0.,Czułość myszy dla pochylenia góra/dół (pochylenie). 1.0 = domyślnie. Musi być większa od 0.,Чувствительность мыши для наклона вверх/вниз (тангаж). 1.0 = по умолчанию. Должна быть больше 0.,Sensibilidad del ratón para la inclinación arriba/abajo (cabeceo). 1.0 = predeterminado. Debe ser mayor que 0.
FREECAM_PitchMin,Min pitch angle,最小俯仰角,Angle de tangage min,Min. Neigungswinkel,Angolo di beccheggio min,Min. kąt pochylenia,Мин. угол наклона,Ángulo de cabeceo mín
FREECAM_PitchMin_DESCRIPTION,Lowest camera tilt angle in degrees (closer to horizontal). Kept within -89..89 and below the max.,最低的镜头倾斜角度（更接近水平），单位为度。会保持在 -89..89 之间且低于最大值。,Angle d'inclinaison minimal de la caméra en degrés (plus proche de l'horizontale). Maintenu entre -89 et 89 et sous le maximum.,Niedrigster Neigungswinkel der Kamera in Grad (näher an der Horizontalen). Bleibt zwischen -89 und 89 und unter dem Maximum.,Angolo di inclinazione minimo della telecamera in gradi (più vicino all'orizzontale). Mantenuto tra -89 e 89 e sotto il massimo.,Najniższy kąt pochylenia kamery w stopniach (bliżej poziomu). Utrzymywany w zakresie -89..89 i poniżej maksimum.,Наименьший угол наклона камеры в градусах (ближе к горизонтали). Удерживается в пределах -89..89 и ниже максимума.,Ángulo de inclinación mínimo de la cámara en grados (más cerca de la horizontal). Se mantiene entre -89 y 89 y por debajo del máximo.
FREECAM_PitchMax,Max pitch angle,最大俯仰角,Angle de tangage max,Max. Neigungswinkel,Angolo di beccheggio max,Maks. kąt pochylenia,Макс. угол наклона,Ángulo de cabeceo máx
FREECAM_PitchMax_DESCRIPTION,Highest camera tilt angle in degrees (closer to top-down). Kept within -89..89 and above the min.,最高的镜头倾斜角度（更接近俯视），单位为度。会保持在 -89..89 之间且高于最小值。,Angle d'inclinaison maximal de la caméra en degrés (plus proche de la vue du dessus). Maintenu entre -89 et 89 et au-dessus du minimum.,Höchster Neigungswinkel der Kamera in Grad (näher an der Draufsicht). Bleibt zwischen -89 und 89 und über dem Minimum.,Angolo di inclinazione massimo della telecamera in gradi (più vicino alla vista dall'alto). Mantenuto tra -89 e 89 e sopra il minimo.,Najwyższy kąt pochylenia kamery w stopniach (bliżej widoku z góry). Utrzymywany w zakresie -89..89 i powyżej minimum.,Наибольший угол наклона камеры в градусах (ближе к виду сверху). Удерживается в пределах -89..89 и выше минимума.,Ángulo de inclinación máximo de la cámara en grados (más cerca de la vista cenital). Se mantiene entre -89 y 89 y por encima del mínimo.
FREECAM_ZoomMin,Min zoom distance,最小缩放距离,Distance de zoom min,Min. Zoom-Distanz,Distanza di zoom min,Min. odległość zoomu,Мин. дистанция зума,Distancia de zoom mín
FREECAM_ZoomMin_DESCRIPTION,Closest the camera may zoom in. Lower = closer to the ground. Must be greater than 0 and below the max.,镜头可拉近的最近距离。数值越小越贴近地面。必须大于 0 且小于最大值。,Distance la plus proche à laquelle la caméra peut zoomer. Plus bas = plus près du sol. Doit être supérieure à 0 et sous le maximum.,"Geringste Distanz, auf die die Kamera heranzoomen kann. Niedriger = näher am Boden. Muss größer als 0 und unter dem Maximum sein.",Distanza minima a cui la telecamera può avvicinarsi. Più basso = più vicino al suolo. Deve essere maggiore di 0 e sotto il massimo.,Najbliższa odległość przybliżenia kamery. Niżej = bliżej ziemi. Musi być większa od 0 i poniżej maksimum.,Ближайшая дистанция приближения камеры. Меньше = ближе к земле. Должна быть больше 0 и ниже максимума.,Distancia más cercana a la que la cámara puede acercarse. Menor = más cerca del suelo. Debe ser mayor que 0 y por debajo del máximo.
FREECAM_ZoomMax,Max zoom distance,最大缩放距离,Distance de zoom max,Max. Zoom-Distanz,Distanza di zoom max,Maks. odległość zoomu,Макс. дистанция зума,Distancia de zoom máx
FREECAM_ZoomMax_DESCRIPTION,Farthest the camera may zoom out. Higher = wider battlefield view. Must be above the min.,镜头可拉远的最远距离。数值越大战场视野越广。必须高于最小值。,Distance la plus éloignée à laquelle la caméra peut dézoomer. Plus haut = vue plus large du champ de bataille. Doit être supérieure au minimum.,"Größte Distanz, auf die die Kamera herauszoomen kann. Höher = breitere Sicht auf das Schlachtfeld. Muss über dem Minimum sein.",Distanza massima a cui la telecamera può allontanarsi. Più alto = vista più ampia del campo di battaglia. Deve essere sopra il minimo.,Najdalsza odległość oddalenia kamery. Wyżej = szerszy widok pola bitwy. Musi być powyżej minimum.,Самая дальняя дистанция отдаления камеры. Больше = шире обзор поля боя. Должна быть выше минимума.,Distancia más lejana a la que la cámara puede alejarse. Mayor = vista más amplia del campo de batalla. Debe ser superior al mínimo.
FREECAM_ZoomFactor,Wheel zoom factor,滚轮缩放系数,Facteur de zoom à la molette,Rad-Zoomfaktor,Fattore di zoom rotellina,Współczynnik zoomu kółka,Коэффициент зума колеса,Factor de zoom de la rueda
FREECAM_ZoomFactor_DESCRIPTION,"Distance-proportional zoom: each scroll-wheel notch (and keyboard t/g) moves this fraction of the current distance, so the camera zooms fast when far and gently when near. ~0.12 = smooth. Higher = bigger jumps. Must be greater than 0.",按距离比例缩放：每一格滚轮（以及键盘 t/g）移动当前距离的这一比例，因此镜头在远处缩放快、在近处缩放柔和。约 0.12 = 平滑。数值越大跳动越大。必须大于 0。,"Zoom proportionnel à la distance : chaque cran de molette (et les touches t/g) parcourt cette fraction de la distance actuelle, donc la caméra zoome vite de loin et doucement de près. ~0,12 = fluide. Plus haut = sauts plus grands. Doit être supérieur à 0.","Distanzproportionaler Zoom: Jede Radraste (und die Tasten t/g) bewegt diesen Bruchteil der aktuellen Distanz, sodass die Kamera von weitem schnell und aus der Nähe sanft zoomt. ~0,12 = gleichmäßig. Höher = größere Sprünge. Muss größer als 0 sein.","Zoom proporzionale alla distanza: ogni scatto della rotellina (e i tasti t/g) percorre questa frazione della distanza attuale, così la telecamera zooma velocemente da lontano e delicatamente da vicino. ~0,12 = fluido. Più alto = salti maggiori. Deve essere maggiore di 0.","Zoom proporcjonalny do odległości: każdy skok kółka (oraz klawisze t/g) pokonuje ten ułamek bieżącej odległości, więc kamera przybliża szybko z daleka i łagodnie z bliska. ~0,12 = płynnie. Wyżej = większe skoki. Musi być większy od 0.","Зум пропорционально дистанции: каждый щелчок колеса (и клавиши t/g) проходит эту долю текущей дистанции, поэтому издалека камера приближается быстро, а вблизи мягко. ~0,12 = плавно. Больше = крупнее шаги. Должен быть больше 0.","Zoom proporcional a la distancia: cada muesca de la rueda (y las teclas t/g) recorre esta fracción de la distancia actual, así la cámara hace zoom rápido de lejos y suave de cerca. ~0,12 = suave. Mayor = saltos más grandes. Debe ser mayor que 0."
FREECAM_MinZoomStep,Min zoom step,最小缩放步长,Pas de zoom min,Min. Zoomschritt,Passo di zoom min,Min. krok zoomu,Мин. шаг зума,Paso de zoom mín
FREECAM_MinZoomStep_DESCRIPTION,"Smallest distance one scroll notch may move, so the zoom never crawls when very close in. Must be greater than 0 and below the max step.",单格滚轮可移动的最小距离，使镜头在非常贴近时缩放不会变得过慢。必须大于 0 且小于最大步长。,"Distance minimale qu'un cran de molette peut parcourir, pour que le zoom ne traîne jamais en très gros plan. Doit être supérieure à 0 et sous le pas maximal.","Kleinste Distanz, die eine Radraste bewegen darf, damit der Zoom aus nächster Nähe nie kriecht. Muss größer als 0 und unter dem Maximalschritt sein.","Distanza minima che uno scatto della rotellina può percorrere, così lo zoom non rallenta mai quando si è molto vicini. Deve essere maggiore di 0 e sotto il passo massimo.","Najmniejsza odległość, jaką może pokonać jeden skok kółka, aby zoom nigdy nie pełzł z bardzo bliska. Musi być większa od 0 i poniżej maksymalnego kroku.","Наименьшая дистанция, которую проходит один щелчок колеса, чтобы зум вблизи не полз слишком медленно. Должна быть больше 0 и ниже максимального шага.","Distancia mínima que puede recorrer una muesca de la rueda, para que el zoom nunca se arrastre en primerísimo plano. Debe ser mayor que 0 y por debajo del paso máximo."
FREECAM_MaxZoomStep,Max zoom step,最大缩放步长,Pas de zoom max,Max. Zoomschritt,Passo di zoom max,Maks. krok zoomu,Макс. шаг зума,Paso de zoom máx
FREECAM_MaxZoomStep_DESCRIPTION,"Largest distance one scroll notch may move, so a far view does not jump the whole range in a single notch. Must be above the min step.",单格滚轮可移动的最大距离，使远景不会在一格之内跳过整个范围。必须高于最小步长。,"Distance maximale qu'un cran de molette peut parcourir, pour qu'une vue éloignée ne saute pas toute la plage en un seul cran. Doit être supérieure au pas minimal.","Größte Distanz, die eine Radraste bewegen darf, damit eine ferne Sicht nicht den ganzen Bereich in einer Raste überspringt. Muss über dem Minimalschritt sein.","Distanza massima che uno scatto della rotellina può percorrere, così una vista lontana non salta l'intero intervallo in un solo scatto. Deve essere sopra il passo minimo.","Największa odległość, jaką może pokonać jeden skok kółka, aby daleki widok nie przeskoczył całego zakresu w jednym skoku. Musi być powyżej minimalnego kroku.","Наибольшая дистанция, которую проходит один щелчок колеса, чтобы дальний вид не перепрыгнул весь диапазон за один щелчок. Должна быть выше минимального шага.","Distancia máxima que puede recorrer una muesca de la rueda, para que una vista lejana no salte todo el rango en una sola muesca. Debe ser superior al paso mínimo."
